,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,Language,Source Type,1st Theme,2nd Theme,Perspective,Who,Who Background,Whom,Whom Background,Verification,Verification.1,Comments,Coder,weekIndex,Comment,1st Theme String,Source Type String,Prevention String
0,2019-12-29-2020-01-05,UC4SUWizzKc1tptprBkWjX2Q,2LtA0-qoHOg,"Mystery illness outbreak in Wuhan, China",2020-01-04T12:39:45Z,1274049,8857.0,603.0,5317.0,123,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=2LtA0-qoHOg,1.0,1.0,2.0,0.0,1.0,9.0,7.0,3.0,7.0,1.1,2.2,,1.0,0,,Statistics and Modeling,Straight news,Not prevention
1,2019-12-29-2020-01-05,UC83jt4dlz1Gjl58fzQrrKZg,oVMxoBNYASw,Chinese authorities working to identify virus behind pneumonia outbreak in Wuhan,2020-01-03T15:30:23Z,107050,421.0,54.0,299.0,53,CNA,1010000,SG,https://www.youtube.com/watch?v=oVMxoBNYASw,1.0,1.0,2.0,1.0,1.0,9.0,7.0,3.0,7.0,1.1,2.2,,1.0,0,,Statistics and Modeling,Straight news,Not prevention
0,2020-01-05-2020-01-12,UC4SUWizzKc1tptprBkWjX2Q,5KJUcKV9q50,China identifies new coronavirus behind Wuhan pneumonia outbreak,2020-01-09T08:20:52Z,653336,2444.0,286.0,915.0,67,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=5KJUcKV9q50,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,"interesting how much our knowledge of the virus has changed, this video mentions no knowledge of human-to-human transmission",0.0,1,,Virus information,Straight news,Not prevention
2,2020-01-05-2020-01-12,UCzznO4xSV8BKnUBPyswtCUw,9Z1KWYfPQ_k,New type of coronavirus found for pneumonia outbreak in China: WHO,2020-01-10T00:23:49Z,73655,390.0,18.0,179.0,98,ARIRANG NEWS,393000,South Korea,https://www.youtube.com/watch?v=9Z1KWYfPQ_k,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,1,,Virus information,Straight news,Not prevention
3,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,VbrXBTJUESw,China says pneumonia outbreak due to new type of coronavirus,2020-01-09T12:36:27Z,64753,308.0,21.0,241.0,150,CNA,1010000,SG,https://www.youtube.com/watch?v=VbrXBTJUESw,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,1,,Virus information,Straight news,Not prevention
5,2020-01-05-2020-01-12,UCrtd2wePvAl6RN_D-9jWVQQ,rNGnuYLteN4,Clinical Manifestations of SARS - Coronavirus (SARS-COV),2020-01-10T15:03:58Z,35755,343.0,22.0,29.0,310,Drbeen Medical Lectures,200000,US,https://www.youtube.com/watch?v=rNGnuYLteN4,1.0,7.0,1.0,1.0,1.0,9.0,7.0,9.0,7.0,1.1,,It's aobut SARS,1.0,1,,Virus information,Educational/YouTubers-professionals,Not prevention
6,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,jggndUgvhrk,Pneumonia cases in China&#39;s Wuhan could be due to new type of virus: WHO,2020-01-09T07:34:48Z,34010,229.0,12.0,205.0,336,CNA,1010000,SG,https://www.youtube.com/watch?v=jggndUgvhrk,1.0,1.0,1.0,2.0,1.0,3.0,7.0,7.0,7.0,1.1,,,1.0,1,,Virus information,Straight news,Not prevention
1,2020-01-12-2020-01-19,UC07-dOwgza1IguKA86jqxNA,OZcRD9fV7jo,WHO: Coronavirus - questions and answers (Q&amp;A),2020-01-16T14:54:37Z,1247805,1546.0,261.0,349.0,82,World Health Organization (WHO),611000,WHO,https://www.youtube.com/watch?v=OZcRD9fV7jo,1.0,4.0,1.0,0.0,1.0,7.0,2.0,9.0,7.0,1.1,,,1.0,2,,Virus information,WHO,Not prevention
5,2020-01-12-2020-01-19,UCPgLNge0xqQHWM5B5EFH9Cg,XDVP4vbeikk,Could this coronavirus be Disease X? Everything you need to know about the mystery virus in China,2020-01-18T09:09:02Z,581763,4695.0,585.0,,140,The Telegraph,1360000,GB,https://www.youtube.com/watch?v=XDVP4vbeikk,1.0,1.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,1.0,2,,Virus information,Straight news,Not prevention
6,2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,Epo99jpxcQo,Wuhan outbreak: Thailand confirms first case of virus outside China,2020-01-15T07:56:14Z,362333,2352.0,108.0,899.0,110,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=Epo99jpxcQo,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,5.0,1.1,,significant change in global perspective about the virus - beginning to seem like a bigger threat to public health,1.0,2,,Statistics and Modeling,Straight news,Not prevention
8,2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,z_InqqUdhgM,Wuhan virus: second death reported in China as Japan finds first case,2020-01-17T08:07:36Z,318105,1789.0,116.0,871.0,114,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=z_InqqUdhgM,1.0,1.0,2.0,1.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,2,,Statistics and Modeling,Straight news,Not prevention
9,2020-01-12-2020-01-19,UCnsvJeZO4RigQ898WdDNoBw,FQasKuFZV1c,Se detecta el PRIMER CASO de CORONAVIRUS en JAPON,2020-01-16T20:48:08Z,213770,827.0,75.0,267.0,90,El País,1160000,ES,https://www.youtube.com/watch?v=FQasKuFZV1c,1.0,1.0,1.0,0.0,1.0,8.0,2.0,9.0,7.0,1.1,,"Two part video, I coded the first part which was in english, second part was not-english",0.0,2,,Virus information,Straight news,Not prevention
13,2020-01-12-2020-01-19,UC83jt4dlz1Gjl58fzQrrKZg,7mNr1K9O1CQ,Thailand reports first case of Wuhan coronavirus outside China,2020-01-13T13:43:27Z,23848,91.0,5.0,39.0,40,CNA,1010000,SG,https://www.youtube.com/watch?v=7mNr1K9O1CQ,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,5.0,1.1,,,0.0,2,,Statistics and Modeling,Straight news,Not prevention
2,2020-01-19-2020-01-26,UCIRYBXDze5krPDzAEOxFGVA,aerq4byr7ps,What is the coronavirus?,2020-01-23T15:49:21Z,9698852,175809.0,4628.0,19167.0,221,Guardian News,1290000,GB,https://www.youtube.com/watch?v=aerq4byr7ps,1.0,1.0,1.0,2.0,2.0,4.0,6.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
8,2020-01-19-2020-01-26,UCupvZG-5ko_eiXAupbDfxWw,GEARtTBHXEw,See where officials believe the coronavirus started,2020-01-21T02:47:47Z,4608867,44425.0,3133.0,26992.0,451,CNN,10500000,US,https://www.youtube.com/watch?v=GEARtTBHXEw,1.0,1.0,2.0,1.0,1.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
10,2020-01-19-2020-01-26,UChLtXXpo4Ge1ReTEboVvTDg,HedWVC_EwrI,Coronavirus Outbreak: Toll gates become checkpoints as China fights to control spread of coronavirus,2020-01-24T18:03:10Z,3234659,13837.0,1355.0,391.0,181,Global News,1970000,CA,https://www.youtube.com/watch?v=HedWVC_EwrI,1.0,1.0,4.1,0.0,1.0,9.0,7.0,3.0,2.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
12,2020-01-19-2020-01-26,UCuFFtHWoLl5fauMMD5Ww2jA,cmgPVhubmQA,"China building 1,000-bed hospital in 5 days to treat coronavirus",2020-01-24T13:31:14Z,2918911,15037.0,1263.0,4732.0,383,CBC News,2250000,CA,https://www.youtube.com/watch?v=cmgPVhubmQA,1.0,1.0,4.1,4.4,3.0,2.0,6.0,3.0,2.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
14,2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,CfcIHUdOI8w,China coronavirus: a look inside the sealed off city of Wuhan,2020-01-24T07:16:13Z,2789589,13030.0,646.0,4486.0,141,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=CfcIHUdOI8w,1.0,1.0,4.1,5.0,3.0,9.0,7.0,3.0,5.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
15,2020-01-19-2020-01-26,UCTrQ7HXWRRxr7OsOtodr2_w,lg925coC5sc,Coronavirus spread is 'accelerating' says China as death toll rises to 41,2020-01-25T18:49:24Z,2749829,35998.0,2297.0,17471.0,445,Channel 4 News,1420000,GB,https://www.youtube.com/watch?v=lg925coC5sc,1.0,1.0,2.0,4.1,3.0,9.0,7.0,8.0,5.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
17,2020-01-19-2020-01-26,UCl-J-ovSJhA3or73Q2uVpow,UubQNkK0wy0,Novel Coronavirus (2019 nCoV  Outbreak ) [Update # 1] COVID-19,2020-01-24T09:27:53Z,2381826,25883.0,1562.0,4504.0,818,Medicosis Perfectionalis,268000,US,https://www.youtube.com/watch?v=UubQNkK0wy0,1.0,8.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,,3,,Virus information,YouTubers-laypersons/channels,Not prevention
20,2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,f7llqJcvkxM,Chinese hospital staff in Wuhan face fears amid frontline battle against coronavirus outbreak,2020-01-23T11:08:35Z,2029780,11598.0,622.0,2120.0,131,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=f7llqJcvkxM,1.0,1.0,5.0,0.0,3.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Non-Physical Health,Straight news,Not prevention
23,2020-01-19-2020-01-26,UCknLrEdhRCp1aegoMqRaCZg,qFkyqt0rKms,Coronavirus spreads to Europe and Australia | DW News,2020-01-25T10:11:02Z,1667077,19589.0,663.0,8093.0,388,DW News,1670000,DE,https://www.youtube.com/watch?v=qFkyqt0rKms,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
24,2020-01-19-2020-01-26,UChirEOpgFCupRAk5etXqPaA,qO8QWq1K1_c,What Is Coronavirus?,2020-01-22T01:51:06Z,1666181,22420.0,1007.0,4418.0,137,Bloomberg QuickTake News,494000,US,https://www.youtube.com/watch?v=qO8QWq1K1_c,1.0,7.0,1.0,0.0,2.0,1.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Educational/YouTubers-professionals,Not prevention
